enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
1,10002164,34,35620,031,182302,98.04,57063,113844,0.5012,119300,4005000,2,1,1,1,51.00,1,120,1,6.680,4005000,7855000,117,1,9,9,9,0,1,0,0,0,0,1,0,0
1,10002165,12,33100,011,030402,97.83,33647,80554,0.4177,87600,10085000,7,1,1,1,52.50,1,180,4,5.080,10085000,19205000,177,1,9,9,9,87,1,0,0,0,0,1,0,0
1,10002166,36,35620,059,303600,46.56,160776,113844,1.4123,119300,965000,2,1,1,1,66.80,1,180,1,5.600,6745000,1455000,177,1,1,9,9,0,1,0,0,0,0,0,1,0
1,10002167,36,28880,027,140101,35.04,100568,113377,0.8870,114800,19595000,2,1,1,1,63.40,1,84,3,5.930,19595000,30905000,81,1,1,9,9,50,1,0,0,0,0,0,0,0
1,10002168,34,35620,031,183200,94.48,0,113844,0.0000,119300,5765000,2,1,1,1,64.80,1,120,1,5.770,22605000,8905000,117,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002169,09,35980,180,800600,77.26,42426,109247,0.3884,111400,375000,7,1,1,1,71.40,2,60,1,7.770,1205000,535000,57,1,9,9,9,0,1,1,0,0,0,1,0,0
1,10002170,17,16980,031,252102,99.53,51945,106055,0.4898,109800,495000,7,1,1,1,80.00,2,120,1,6.020,4225000,615000,117,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002171,37,39580,183,053608,74.35,140530,113293,1.2404,122300,44155000,2,3,1,1,60.90,1,120,5,6.030,123395000,71805000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002172,54,13220,081,000300,29.89,46042,64351,0.7155,68100,1885000,7,1,1,1,65.00,1,60,2,6.490,1885000,2895000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002173,36,10580,093,033500,26.48,97679,109385,0.8930,117800,455000,7,1,1,1,70.40,1,120,1,5.700,6905000,645000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002174,12,33100,086,003607,97.46,31035,80554,0.3853,87600,4705000,7,5,1,1,22.60,1,168,5,5.710,4705000,20805000,165,1,1,9,9,100,1,0,0,0,0,1,0,0
1,10002175,36,35620,119,000204,96.67,61467,113844,0.5399,119300,7865000,2,1,1,1,66.60,1,120,3,5.480,7865000,11805000,117,1,1,9,9,96,1,0,0,0,0,1,0,0
1,10002176,48,19100,113,006001,96.76,59605,99957,0.5963,107300,6575000,1,1,1,1,75.00,1,60,4,6.850,6575000,8765000,57,1,9,9,9,0,1,0,0,0,0,1,0,0
1,10002177,26,19820,163,565302,57.93,64118,93779,0.6837,97300,20505000,1,1,1,1,74.90,1,120,5,5.680,20505000,27355000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
