cbsa_metro_code,cbsa_metro_name
10180,"Abilene, TX Metro Area"
10380,"Aguadilla, PR Metro Area"
10420,"Akron, OH Metro Area"
10500,"Albany, GA Metro Area"
10540,"Albany, OR Metro Area"
10580,"Albany-Schenectady-Troy, NY Metro Area"
10740,"Albuquerque, NM Metro Area"
10780,"Alexandria, LA Metro Area"
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
11020,"Altoona, PA Metro Area"
11100,"Amarillo, TX Metro Area"
11180,"Ames, IA Metro Area"
11200,"Amherst Town-Northampton, MA Metro Area"
11260,"Anchorage, AK Metro Area"
11460,"Ann Arbor, MI Metro Area"
11500,"Anniston-Oxford, AL Metro Area"
11540,"Appleton, WI Metro Area"
11640,"Arecibo, PR Metro Area"
11700,"Asheville, NC Metro Area"
12020,"Athens-Clarke County, GA Metro Area"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area"
12100,"Atlantic City-Hammonton, NJ Metro Area"
12220,"Auburn-Opelika, AL Metro Area"
12260,"Augusta-Richmond County, GA-SC Metro Area"
12420,"Austin-Round Rock-San Marcos, TX Metro Area"
12540,"Bakersfield-Delano, CA Metro Area"
12580,"Baltimore-Columbia-Towson, MD Metro Area"
12620,"Bangor, ME Metro Area"
12700,"Barnstable Town, MA Metro Area"
12940,"Baton Rouge, LA Metro Area"
12980,"Battle Creek, MI Metro Area"
13020,"Bay City, MI Metro Area"
13140,"Beaumont-Port Arthur, TX Metro Area"
13220,"Beckley, WV Metro Area"
13380,"Bellingham, WA Metro Area"
13460,"Bend, OR Metro Area"
13740,"Billings, MT Metro Area"
13780,"Binghamton, NY Metro Area"
13820,"Birmingham, AL Metro Area"
13900,"Bismarck, ND Metro Area"
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area"
14010,"Bloomington, IL Metro Area"
14020,"Bloomington, IN Metro Area"
14260,"Boise City, ID Metro Area"
14460,"Boston-Cambridge-Newton, MA-NH Metro Area"
14500,"Boulder, CO Metro Area"
14540,"Bowling Green, KY Metro Area"
14580,"Bozeman, MT Metro Area"
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area"
14860,"Bridgeport-Stamford-Danbury, CT Metro Area"
15180,"Brownsville-Harlingen, TX Metro Area"
15260,"Brunswick-St. Simons, GA Metro Area"
15380,"Buffalo-Cheektowaga, NY Metro Area"
15500,"Burlington, NC Metro Area"
15540,"Burlington-South Burlington, VT Metro Area"
15940,"Canton-Massillon, OH Metro Area"
15980,"Cape Coral-Fort Myers, FL Metro Area"
16020,"Cape Girardeau, MO-IL Metro Area"
16180,"Carson City, NV Metro Area"
16220,"Casper, WY Metro Area"
16300,"Cedar Rapids, IA Metro Area"
16540,"Chambersburg, PA Metro Area"
16580,"Champaign-Urbana, IL Metro Area"
16620,"Charleston, WV Metro Area"
16700,"Charleston-North Charleston, SC Metro Area"
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
16820,"Charlottesville, VA Metro Area"
16860,"Chattanooga, TN-GA Metro Area"
16940,"Cheyenne, WY Metro Area"
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area"
17020,"Chico, CA Metro Area"
17140,"Cincinnati, OH-KY-IN Metro Area"
17300,"Clarksville, TN-KY Metro Area"
17410,"Cleveland, OH Metro Area"
17420,"Cleveland, TN Metro Area"
17660,"Coeur d'Alene, ID Metro Area"
17780,"College Station-Bryan, TX Metro Area"
17820,"Colorado Springs, CO Metro Area"
17860,"Columbia, MO Metro Area"
17900,"Columbia, SC Metro Area"
17980,"Columbus, GA-AL Metro Area"
18020,"Columbus, IN Metro Area"
18140,"Columbus, OH Metro Area"
18580,"Corpus Christi, TX Metro Area"
18700,"Corvallis, OR Metro Area"
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
19100,"Dallas-Fort Worth-Arlington, TX Metro Area"
19140,"Dalton, GA Metro Area"
19300,"Daphne-Fairhope-Foley, AL Metro Area"
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area"
19430,"Dayton-Kettering-Beavercreek, OH Metro Area"
19460,"Decatur, AL Metro Area"
19500,"Decatur, IL Metro Area"
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
19740,"Denver-Aurora-Centennial, CO Metro Area"
19780,"Des Moines-West Des Moines, IA Metro Area"
19820,"Detroit-Warren-Dearborn, MI Metro Area"
20020,"Dothan, AL Metro Area"
20100,"Dover, DE Metro Area"
20220,"Dubuque, IA Metro Area"
20260,"Duluth, MN-WI Metro Area"
20500,"Durham-Chapel Hill, NC Metro Area"
20580,"Eagle Pass, TX Metro Area"
20740,"Eau Claire, WI Metro Area"
20940,"El Centro, CA Metro Area"
21060,"Elizabethtown, KY Metro Area"
21140,"Elkhart-Goshen, IN Metro Area"
21300,"Elmira, NY Metro Area"
21340,"El Paso, TX Metro Area"
21420,"Enid, OK Metro Area"
21500,"Erie, PA Metro Area"
21660,"Eugene-Springfield, OR Metro Area"
21780,"Evansville, IN Metro Area"
21820,"Fairbanks-College, AK Metro Area"
22020,"Fargo, ND-MN Metro Area"
22140,"Farmington, NM Metro Area"
22180,"Fayetteville, NC Metro Area"
22220,"Fayetteville-Springdale-Rogers, AR Metro Area"
22380,"Flagstaff, AZ Metro Area"
22420,"Flint, MI Metro Area"
22500,"Florence, SC Metro Area"
22520,"Florence-Muscle Shoals, AL Metro Area"
22540,"Fond du Lac, WI Metro Area"
22660,"Fort Collins-Loveland, CO Metro Area"
22900,"Fort Smith, AR-OK Metro Area"
23060,"Fort Wayne, IN Metro Area"
23420,"Fresno, CA Metro Area"
23460,"Gadsden, AL Metro Area"
23540,"Gainesville, FL Metro Area"
23580,"Gainesville, GA Metro Area"
23900,"Gettysburg, PA Metro Area"
24020,"Glens Falls, NY Metro Area"
24140,"Goldsboro, NC Metro Area"
24220,"Grand Forks, ND-MN Metro Area"
24260,"Grand Island, NE Metro Area"
24300,"Grand Junction, CO Metro Area"
24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area"
24420,"Grants Pass, OR Metro Area"
24500,"Great Falls, MT Metro Area"
24540,"Greeley, CO Metro Area"
24580,"Green Bay, WI Metro Area"
24660,"Greensboro-High Point, NC Metro Area"
24780,"Greenville, NC Metro Area"
24860,"Greenville-Anderson-Greer, SC Metro Area"
25020,"Guayama, PR Metro Area"
25060,"Gulfport-Biloxi, MS Metro Area"
25180,"Hagerstown-Martinsburg, MD-WV Metro Area"
25220,"Hammond, LA Metro Area"
25260,"Hanford-Corcoran, CA Metro Area"
25420,"Harrisburg-Carlisle, PA Metro Area"
25500,"Harrisonburg, VA Metro Area"
25540,"Hartford-West Hartford-East Hartford, CT Metro Area"
25620,"Hattiesburg, MS Metro Area"
25740,"Helena, MT Metro Area"
25860,"Hickory-Lenoir-Morganton, NC Metro Area"
25940,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area"
